[Header]
TITLE,hc_sample_12232020_1p8_300K.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,1,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
31072369.3,,5905,10.9049,10.9108,-0.005,9.3E-6,11.015354,0.198486,202.31078,0.1736,27.966835,0.04235,230.27761,0.1736,0.84155914,18.373184,0.020371016,98.954879,0,0,1,,,,1.2636E-5,36.63323,121.33801,18.366254,0
31072506.83,,5905,10.9061,10.9109,-0.005,9.4E-6,11.016138,0.19969871,202.43527,0.1997,27.973676,0.04236,230.40895,0.1997,0.49673217,18.601018,0.020486133,98.961593,0,0,1,,,,1.2487E-5,36.74637,121.3553,18.376246,0
31072856.73,,5905,11.2957,11.3019,-0.005,9.3E-6,11.406823,0.20314221,214.40703,0.2057,30.357585,0.044,244.76462,0.2057,20.289618,18.817095,0.02213612,98.910817,0,0,1,,,,1.3118E-5,37.20204,130.1156,18.796385,0
31072997.63,,5905,11.2964,11.302,-0.005,9.3E-6,11.410306,0.20765748,214.1737,0.2068,30.383145,0.04403,244.55684,0.2068,0.44018826,18.970156,0.021354738,98.959539,0,0,1,,,,1.2996E-5,37.63419,130.19509,18.770197,0
31073138.61,,5905,11.2971,11.3025,-0.005,9.2E-6,11.411919,0.20947725,214.40283,0.2057,30.395791,0.04404,244.79862,0.2057,0.491241,19.168327,0.021747309,98.950799,0,0,1,,,,1.2875E-5,37.94031,130.2319,18.787622,0
31073490.75,,5905,11.6861,11.6949,-0.005,9.2E-6,11.80319,0.21308036,226.3642,0.2123,32.909982,0.04705,259.27419,0.2123,4.2015691,19.438163,0.022291904,98.959423,0,0,1,,,,1.3445E-5,38.33665,139.3153,19.178222,0
31073632.84,,5905,11.6878,11.6962,-0.005,9.3E-6,11.806436,0.21803823,226.47685,0.2297,32.935759,0.04709,259.41261,0.2297,0.43514921,19.592491,0.022034491,98.979871,0,0,1,,,,1.3345E-5,38.87633,139.39193,19.182491,0
31073777.97,,5905,11.6881,11.6949,-0.005,9.3E-6,11.807681,0.21998299,226.56981,0.2229,32.94295,0.0471,259.51276,0.2229,0.55924689,19.796923,0.022185206,98.983372,0,0,1,,,,1.3211E-5,39.18498,139.42134,19.18834,0
31074134.36,,5905,12.0779,12.0929,-0.005,9.3E-6,12.198961,0.22323308,240.42049,0.2909,35.582052,0.05123,276.00254,0.2909,0.96973314,20.348699,0.024372408,98.927426,0,0,1,,,,1.3675E-5,39.59385,148.81465,19.708276,0
31074283.39,,5905,12.0803,12.0938,-0.005,9.2E-6,12.20483,0.22976619,240.46611,0.2574,35.622795,0.05129,276.0889,0.2574,1.7566277,20.362778,0.022854081,98.996021,0,0,1,,,,1.3663E-5,40.6974,148.95789,19.702536,0
31074433.3,,5905,12.0797,12.0948,-0.005,9.4E-6,12.20528,0.23068673,240.55572,0.2813,35.627969,0.0513,276.18369,0.2813,0.41130422,20.541535,0.023441989,98.97889,0,0,1,,,,1.355E-5,40.72556,148.96886,19.709152,0
31074795.41,,5905,12.4685,12.4849,-0.005,9.3E-6,12.595671,0.23267331,256.24084,0.3077,38.356711,0.05566,294.59755,0.3077,2.5058253,21.142803,0.024977212,98.951142,0,0,1,,,,1.4046E-5,41.08307,158.65093,20.343564,0
